ts_event,open,high,low,close,volume
395 ,"30,536.50","30,550.00","30,532.00","30,541.00","4,694"
396 ,"30,541.75","30,546.25","30,526.75","30,542.00","3,980"
397 ,"30,542.50","30,547.75","30,535.25","30,538.25","1,770"
398 ,"30,538.25","30,545.25","30,532.75","30,544.50","1,860"
399 ,"30,543.50","30,547.25","30,529.00","30,530.50","2,676"
400 ,"30,531.25","30,537.50","30,522.75","30,524.00","2,807"
401 ,"30,523.25","30,530.25","30,509.75","30,510.00","4,616"
402 ,"30,510.00","30,518.75","30,492.75","30,501.75","5,887"
403 ,"30,502.00","30,502.50","30,471.50","30,498.25","9,079"
404 ,"30,498.25","30,506.75","30,465.00","30,484.75","8,948"
405 ,"30,484.00","30,498.25","30,471.50","30,485.50","5,353"
406 ,"30,485.25","30,495.25","30,478.00","30,485.75","4,004"
407 ,"30,485.50","30,503.50","30,470.50","30,477.00","5,634"
408 ,"30,477.25","30,486.25","30,467.25","30,478.25","3,978"
409 ,"30,478.50","30,484.50","30,469.25","30,474.25","2,916"
